         1	 57.731201	 -5.000351	 -5.001594	 5.000649	 3.079125	 -0.001462
         2	 57.815796	 -5.000340	 -5.001569	 5.000709	 3.079143	 -0.001210
         3	 57.746582	 -5.000353	 -5.001584	 5.000736	 3.079112	 -0.001875
         4	 57.892700	 -5.000367	 -5.001592	 5.000714	 3.079159	 -0.001272
         5	 57.785034	 -5.000322	 -5.001587	 5.000720	 3.079152	 -0.000588
         6	 57.754272	 -5.000318	 -5.001579	 5.000714	 3.079149	 -0.000912
         7	 57.746582	 -5.000329	 -5.001608	 5.000659	 3.079110	 -0.000788
         8	 57.769653	 -5.000335	 -5.001579	 5.000692	 3.079183	 -0.000769
         9	 57.800415	 -5.000350	 -5.001568	 5.000764	 3.079145	 -0.000477
        10	 57.800415	 -5.000352	 -5.001589	 5.000736	 3.079145	 -0.000113
        11	 57.746582	 -5.000319	 -5.001594	 5.000736	 3.079178	 -0.000170
        12	 57.685059	 -5.000324	 -5.001571	 5.000720	 3.079171	 -0.000881
        13	 57.885010	 -5.000331	 -5.001589	 5.000692	 3.079182	 -0.001217
        14	 57.823486	 -5.000338	 -5.001571	 5.000742	 3.079165	 -0.001281
        15	 57.792725	 -5.000334	 -5.001594	 5.000659	 3.079183	 -0.001138
        16	 57.777344	 -5.000326	 -5.001594	 5.000671	 3.079167	 -0.000629
        17	 57.800415	 -5.000339	 -5.001573	 5.000632	 3.079141	 -0.001109
        18	 57.808105	 -5.000331	 -5.001592	 5.000764	 3.079165	 -0.000404
        19	 57.723511	 -5.000318	 -5.001579	 5.000731	 3.079136	 -0.001160
        20	 57.731201	 -5.000352	 -5.001580	 5.000709	 3.079198	 -0.001160
        21	 57.738892	 -5.000332	 -5.001584	 5.000643	 3.079183	 -0.000716
        22	 57.723511	 -5.000340	 -5.001586	 5.000659	 3.079167	 -0.000693
        23	 57.777344	 -5.000338	 -5.001602	 5.000687	 3.079233	 -0.000468
        24	 57.731201	 -5.000326	 -5.001592	 5.000736	 3.079180	 0.000157
        25	 57.754272	 -5.000333	 -5.001563	 5.000681	 3.079182	 -0.000457
        26	 57.723511	 -5.000354	 -5.001574	 5.000703	 3.079156	 -0.000596
        27	 57.723511	 -5.000363	 -5.001565	 5.000726	 3.079176	 -0.000830
        28	 57.777344	 -5.000337	 -5.001584	 5.000703	 3.079195	 -0.000833
        29	 57.854248	 -5.000342	 -5.001588	 5.000692	 3.079198	 -0.000651
        30	 57.700439	 -5.000329	 -5.001595	 5.000692	 3.079189	 -0.000839
        31	 57.654297	 -5.000342	 -5.001584	 5.000726	 3.079180	 -0.001897
        32	 57.592773	 -5.000326	 -5.001566	 5.000703	 3.079191	 -0.000002
        33	 57.785034	 -5.000331	 -5.001576	 5.000764	 3.079216	 -0.001036
        34	 57.777344	 -5.000351	 -5.001569	 5.000726	 3.079164	 -0.001361
        35	 57.661987	 -5.000326	 -5.001582	 5.000703	 3.079214	 -0.000894
        36	 57.546631	 -5.000350	 -5.001616	 5.000770	 3.079237	 -0.000835
        37	 57.646606	 -5.000333	 -5.001592	 5.000753	 3.079206	 -0.001555
        38	 57.661987	 -5.000346	 -5.001575	 5.000671	 3.079235	 -0.000172
        39	 57.608154	 -5.000314	 -5.001579	 5.000720	 3.079200	 -0.000428
        40	 57.761963	 -5.000335	 -5.001562	 5.000698	 3.079224	 -0.001224
        41	 57.623535	 -5.000351	 -5.001592	 5.000726	 3.079198	 -0.000916
        42	 57.685059	 -5.000326	 -5.001581	 5.000676	 3.079224	 -0.000561
        43	 57.692749	 -5.000315	 -5.001556	 5.000736	 3.079196	 -0.001020
        44	 57.585083	 -5.000349	 -5.001581	 5.000671	 3.079167	 -0.000954
        45	 57.731201	 -5.000331	 -5.001589	 5.000698	 3.079251	 -0.000574
        46	 57.638916	 -5.000331	 -5.001575	 5.000671	 3.079235	 -0.000610
        47	 57.715820	 -5.000329	 -5.001583	 5.000753	 3.079211	 -0.000775
        48	 57.677368	 -5.000322	 -5.001593	 5.000703	 3.079220	 -0.000433
        49	 57.692749	 -5.000357	 -5.001612	 5.000692	 3.079224	 -0.000528
        50	 57.700439	 -5.000342	 -5.001606	 5.000692	 3.079251	 -0.001193
        51	 57.708130	 -5.000354	 -5.001598	 5.000742	 3.079202	 -0.000879
        52	 57.677368	 -5.000354	 -5.001601	 5.000687	 3.079229	 -0.000799
        53	 57.677368	 -5.000337	 -5.001599	 5.000687	 3.079207	 -0.001210
        54	 57.738892	 -5.000349	 -5.001559	 5.000638	 3.079227	 -0.000532
        55	 57.738892	 -5.000333	 -5.001599	 5.000714	 3.079246	 -0.001111
        56	 57.738892	 -5.000359	 -5.001591	 5.000665	 3.079242	 -0.001266
        57	 57.577393	 -5.000349	 -5.001601	 5.000681	 3.079233	 -0.001095
        58	 57.469727	 -5.000352	 -5.001607	 5.000709	 3.079264	 -0.000079
        59	 57.500488	 -5.000349	 -5.001601	 5.000709	 3.079260	 -0.000934
        60	 57.385132	 -5.000364	 -5.001636	 5.000638	 3.079229	 -0.001804
        61	 57.300537	 -5.000351	 -5.001623	 5.000692	 3.079233	 -0.001438
        62	 57.185211	 -5.000337	 -5.001619	 5.000748	 3.079242	 -0.001027
        63	 57.292847	 -5.000340	 -5.001580	 5.000692	 3.079278	 -0.000099
        64	 57.315918	 -5.000357	 -5.001593	 5.000649	 3.079224	 -0.000645
        65	 57.169830	 -5.000340	 -5.001601	 5.000720	 3.079282	 -0.000080
        66	 57.269775	 -5.000338	 -5.001609	 5.000720	 3.079216	 0.000172
        67	 57.192902	 -5.000355	 -5.001607	 5.000731	 3.079244	 0.000088
        68	 57.254425	 -5.000338	 -5.001625	 5.000610	 3.079226	 -0.000393
        69	 57.200592	 -5.000331	 -5.001597	 5.000758	 3.079246	 -0.000552
        70	 57.123688	 -5.000342	 -5.001587	 5.000659	 3.079251	 -0.001091
        71	 57.300537	 -5.000336	 -5.001616	 5.000659	 3.079235	 -0.000777
        72	 57.377441	 -5.000340	 -5.001601	 5.000736	 3.079244	 -0.001283
        73	 57.462036	 -5.000342	 -5.001616	 5.000709	 3.079247	 -0.000656
        74	 57.469727	 -5.000311	 -5.001576	 5.000692	 3.079262	 -0.000219
        75	 57.546631	 -5.000331	 -5.001605	 5.000649	 3.079242	 -0.000826
        76	 57.577393	 -5.000342	 -5.001619	 5.000753	 3.079280	 -0.000276
        77	 57.569702	 -5.000349	 -5.001599	 5.000748	 3.079253	 -0.001201
        78	 57.562012	 -5.000343	 -5.001598	 5.000742	 3.079249	 -0.000603
        79	 57.638916	 -5.000328	 -5.001597	 5.000714	 3.079249	 -0.000018
        80	 57.554321	 -5.000335	 -5.001595	 5.000726	 3.079293	 -0.000521
        81	 57.600464	 -5.000345	 -5.001605	 5.000770	 3.079224	 -0.000903
        82	 57.562012	 -5.000351	 -5.001587	 5.000748	 3.079235	 -0.000581
        83	 57.615845	 -5.000320	 -5.001591	 5.000671	 3.079229	 -0.000530
        84	 57.646606	 -5.000335	 -5.001573	 5.000714	 3.079268	 -0.000510
        85	 57.646606	 -5.000335	 -5.001579	 5.000703	 3.079244	 -0.000722
        86	 57.661987	 -5.000320	 -5.001607	 5.000770	 3.079278	 -0.001277
        87	 57.600464	 -5.000331	 -5.001568	 5.000687	 3.079262	 -0.000292
        88	 57.615845	 -5.000340	 -5.001579	 5.000775	 3.079260	 -0.001383
        89	 57.608154	 -5.000340	 -5.001553	 5.000703	 3.079235	 -0.000110
        90	 57.646606	 -5.000335	 -5.001578	 5.000714	 3.079246	 -0.000879
        91	 57.677368	 -5.000337	 -5.001567	 5.000731	 3.079224	 -0.000769
        92	 57.646606	 -5.000340	 -5.001565	 5.000687	 3.079244	 0.000106
        93	 57.777344	 -5.000354	 -5.001563	 5.000687	 3.079251	 -0.000444
        94	 57.608154	 -5.000337	 -5.001554	 5.000726	 3.079235	 -0.001356
        95	 57.738892	 -5.000354	 -5.001594	 5.000681	 3.079206	 -0.000057
        96	 57.608154	 -5.000329	 -5.001590	 5.000736	 3.079269	 -0.000088
        97	 57.715820	 -5.000346	 -5.001565	 5.000692	 3.079244	 -0.000329
        98	 57.592773	 -5.000352	 -5.001548	 5.000714	 3.079214	 -0.001073
        99	 57.638916	 -5.000320	 -5.001564	 5.000681	 3.079244	 -0.001144
       100	 57.661987	 -5.000341	 -5.001600	 5.000671	 3.079244	 -0.001051
