         1	 59.522980	 0.998623	 0.997280	 0.998646	 0.542956	 -0.004026
         2	 59.507599	 0.998612	 0.997274	 0.998642	 0.542958	 -0.003848
         3	 59.515289	 0.998620	 0.997277	 0.998666	 0.542959	 -0.004156
         4	 59.507599	 0.998605	 0.997275	 0.998627	 0.542946	 -0.003152
         5	 59.507599	 0.998617	 0.997269	 0.998652	 0.542966	 -0.003689
         6	 59.430695	 0.998612	 0.997268	 0.998646	 0.542957	 -0.003962
         7	 59.522980	 0.998576	 0.997237	 0.998654	 0.542940	 -0.000396
         8	 59.423004	 0.998594	 0.997251	 0.998641	 0.542959	 -0.002036
         9	 59.530670	 0.998607	 0.997275	 0.998647	 0.542958	 -0.003260
        10	 59.576813	 0.998634	 0.997304	 0.998646	 0.542986	 -0.005851
        11	 59.392242	 0.998590	 0.997251	 0.998650	 0.542933	 -0.001671
        12	 59.392242	 0.998606	 0.997255	 0.998645	 0.542947	 -0.002769
        13	 59.561432	 0.998590	 0.997248	 0.998670	 0.542930	 -0.001732
        14	 59.461456	 0.998601	 0.997254	 0.998664	 0.542940	 -0.002379
        15	 59.361481	 0.998612	 0.997264	 0.998654	 0.542947	 -0.003638
        16	 59.446075	 0.998639	 0.997298	 0.998649	 0.542983	 -0.006305
        17	 59.453766	 0.998662	 0.997317	 0.998649	 0.542968	 -0.007024
        18	 59.546051	 0.998647	 0.997298	 0.998640	 0.542999	 -0.006176
        19	 59.469147	 0.998615	 0.997275	 0.998636	 0.542949	 -0.003438
        20	 59.515289	 0.998642	 0.997298	 0.998662	 0.542972	 -0.006335
        21	 59.476837	 0.998648	 0.997294	 0.998643	 0.542947	 -0.006090
        22	 59.430695	 0.998641	 0.997298	 0.998661	 0.543005	 -0.005543
        23	 59.592194	 0.998619	 0.997276	 0.998639	 0.542941	 -0.003860
        24	 59.392242	 0.998631	 0.997293	 0.998673	 0.542911	 -0.005042
        25	 59.546051	 0.998555	 0.997209	 0.998654	 0.542920	 0.001450
        26	 59.346100	 0.998637	 0.997298	 0.998649	 0.542991	 -0.005465
