         1	 58.638611	 -4.978878	 -4.977057	 5.010763	 2.732589	 0.007083
         2	 58.577118	 -4.978871	 -4.977026	 5.010670	 2.732575	 0.009442
         3	 58.646301	 -4.978916	 -4.977073	 5.010708	 2.732589	 0.006060
         4	 58.577118	 -4.978921	 -4.977095	 5.010742	 2.732586	 0.001986
         5	 58.615540	 -4.978891	 -4.977014	 5.010708	 2.732568	 0.005312
         6	 58.554047	 -4.978899	 -4.977055	 5.010725	 2.732595	 0.003998
         7	 58.607880	 -4.978866	 -4.977006	 5.010708	 2.732604	 0.010054
         8	 58.700134	 -4.978888	 -4.977028	 5.010752	 2.732591	 0.006213
         9	 58.546356	 -4.978931	 -4.977064	 5.010736	 2.732591	 -0.000119
        10	 58.607880	 -4.978916	 -4.977034	 5.010725	 2.732615	 0.005139
        11	 58.630920	 -4.978918	 -4.977046	 5.010742	 2.732602	 0.002335
        12	 58.707825	 -4.978911	 -4.977105	 5.010648	 2.732558	 0.001791
        13	 58.646301	 -4.978927	 -4.977057	 5.010686	 2.732566	 0.000716
        14	 58.730896	 -4.978891	 -4.977048	 5.010659	 2.732591	 0.008022
        15	 58.653992	 -4.978906	 -4.977088	 5.010720	 2.732595	 0.000378
        16	 58.623230	 -4.978923	 -4.977070	 5.010742	 2.732588	 0.001255
        17	 58.584808	 -4.978945	 -4.977123	 5.010725	 2.732564	 -0.000916
        18	 58.684753	 -4.978899	 -4.977071	 5.010621	 2.732588	 0.001595
        19	 58.500214	 -4.978944	 -4.977102	 5.010725	 2.732571	 0.000826
        20	 58.507904	 -4.978908	 -4.977064	 5.010720	 2.732584	 0.003997
        21	 58.577118	 -4.978909	 -4.977073	 5.010698	 2.732548	 0.002569
        22	 58.607880	 -4.978937	 -4.977097	 5.010708	 2.732564	 0.000908
        23	 58.523285	 -4.978949	 -4.977062	 5.010664	 2.732566	 -0.000095
        24	 58.569427	 -4.978921	 -4.977071	 5.010708	 2.732615	 0.002242
        25	 58.546356	 -4.978938	 -4.977065	 5.010686	 2.732594	 -0.000175
        26	 58.538666	 -4.978938	 -4.977068	 5.010725	 2.732591	 -0.000340
        27	 58.461761	 -4.978939	 -4.977066	 5.010714	 2.732560	 0.001963
        28	 58.623230	 -4.978935	 -4.977062	 5.010730	 2.732558	 0.004629
        29	 58.500214	 -4.978962	 -4.977105	 5.010681	 2.732591	 0.000513
        30	 58.500214	 -4.978856	 -4.977021	 5.010698	 2.732606	 0.006442
